amplitude,area,peak_idx,retention_time,scale,skew,compound,carbon_conc_mM,buffer_base,rel_area,relative_peak
138.94650752013186,16673.580902415822,3,21.960532862478814,0.22332022850940839,1.153484432632534,glycerol,0.3,DM,0.005570775984612881,phosphate
58.366061569238724,7003.927010896208,4,24.970625805966165,0.22957681049848663,0.9281227454526767,acetate,0.3,DM,0.0023400677166252205,phosphate
240.59812881423193,28871.775457707838,3,21.963349848108596,0.22468793412614282,1.151612190545495,glycerol,0.5,DM,0.009740862020391898,phosphate
100.4990602634328,12059.887077166073,4,24.970015657455512,0.23362457985267854,0.9906635390547814,acetate,0.5,DM,0.004068807481973553,phosphate
469.7434115231005,56369.20938277207,3,21.961255135970934,0.22646105137104966,1.1777110733018472,glycerol,1.0,DM,0.01888043081300033,phosphate
198.68633477553226,23842.360052707114,4,24.96911633667497,0.23505659643333313,0.9868606464447668,acetate,1.0,DM,0.007985814140784432,phosphate
3629.367208882825,435524.065065939,2,15.81932961454947,0.25395431405068736,-1.5391897731673732,glucose,2.0,DM,0.1449901851570782,phosphate
934.6657462320845,112159.88954733736,3,21.961583394249786,0.22779191889850656,1.1899442804741898,glycerol,2.0,DM,0.037339115004365556,phosphate
396.3482832218701,47561.793942035954,4,24.969361507431376,0.23701836824198047,1.0037497720846649,acetate,2.0,DM,0.015833782477701962,phosphate
5114.551340548154,613746.1608657787,2,15.778709047805172,0.2087213661743588,-0.9503448051711089,glucose,3.0,DM,0.20410433495289784,phosphate
1396.3567219665522,167562.8066350357,3,21.95726229929765,0.2280536746589993,1.1914359709117084,glycerol,3.0,DM,0.055723843816538846,phosphate
594.2199269322665,71306.39121003443,4,24.963165933544143,0.23834975002681438,1.020483411819436,acetate,3.0,DM,0.02371329465472301,phosphate
8062.2142058778945,967465.7047053474,2,15.5577038255854,0.20630622508243726,1.0657255055459374,glucose,5.0,DM,0.32161802499936276,phosphate
2289.2113114602444,274705.35737390514,3,21.954078343065884,0.22844377798632604,1.191463828323189,glycerol,5.0,DM,0.09132126758151862,phosphate
973.963436506582,116875.6123568727,4,24.958963655582547,0.2387070032097326,1.0202536087211036,acetate,5.0,DM,0.03885337065075269,phosphate
15808.236763498098,1896988.4116197724,2,15.54849003329489,0.21321776543992743,1.3100344856562514,glucose,10.0,DM,0.6297153851416911,phosphate
4604.579341942242,552549.5210305093,3,21.95509168743509,0.22907272850193092,1.1965387573045478,glycerol,10.0,DM,0.18342175013524864,phosphate
1960.9030967214474,235308.37160561013,4,24.957686575257558,0.24019261631236882,1.035092680992897,acetate,10.0,DM,0.07811186454542836,phosphate
23502.334702641252,2820280.1643169513,2,15.550107450870813,0.21417142378066578,1.3698177080141436,glucose,15.0,DM,0.9365690388009426,phosphate
6903.8757785019725,828465.0934151392,3,21.957898684774655,0.22904022764413884,1.194895260688314,glycerol,15.0,DM,0.2751197437889545,phosphate
2943.458872863764,353215.0647436517,4,24.95849737727376,0.2410591740843584,1.046425999874679,acetate,15.0,DM,0.1172969614375507,phosphate
31305.118489029705,3756614.218683565,2,15.54742855907511,0.21449867925856503,1.3969196772171488,glucose,20.0,DM,1.2472303450003948,phosphate
9231.403732239361,1107768.4478633716,3,21.9546640143337,0.2289609996515472,1.1945855312485987,glycerol,20.0,DM,0.3677892759223372,phosphate
3937.1980862735545,472463.77035282657,4,24.952295574162118,0.24198246267279128,1.0607970086231795,acetate,20.0,DM,0.1568623012622899,phosphate
39030.897287877655,4683707.674545321,2,15.547947748968987,0.21468083827305692,1.410424846500438,glucose,25.0,DM,1.555542232082612,phosphate
11534.753689401377,1384170.4427215513,3,21.95502810475548,0.22898338838915763,1.1945177625614627,glycerol,25.0,DM,0.45970750731425153,phosphate
4921.287199514295,590554.4639417155,4,24.950531260977595,0.2429126475779259,1.074212832606386,acetate,25.0,DM,0.19613359176935063,phosphate
46686.83928213823,5602420.713856589,2,15.551316867466223,0.2146666249998912,1.4173897918936185,glucose,30.0,DM,1.8633386795797404,phosphate
13813.2452831595,1657589.4339690998,3,21.958281082135482,0.22894796107454846,1.1940264474750117,glycerol,30.0,DM,0.5513064200155632,phosphate
5895.18995946975,707422.7951363701,4,24.950902053813437,0.24378551582564373,1.0876163929651306,acetate,30.0,DM,0.23528548181570136,phosphate
145.80262939039585,17496.315526847502,3,21.957505285006146,0.2250912261928086,1.0383017250456852,glycerol,0.3,N-C-,0.0028341638415066706,phosphate
59.43836742172537,7132.603869630773,4,24.95483099107791,0.23681576380948516,1.0432476030547129,acetate,0.3,N-C-,0.0011553842837412776,phosphate
145.80262939039585,17496.315526847502,3,21.957505285006146,0.2250912261928086,1.0383017250456852,glycerol,0.3,N-C-,0.008733839777879188,NaCl
59.43836742172537,7132.603869630773,4,24.95483099107791,0.23681576380948516,1.0432476030547129,acetate,0.3,N-C-,0.0035604650190976883,NaCl
103.32787923665366,12399.345503427365,4,24.95231014750206,0.2400692025100316,1.0240756247414555,acetate,0.5,N-C-,0.0020464578796825783,phosphate
103.32787923665366,12399.345503427365,4,24.95231014750206,0.2400692025100316,1.0240756247414555,acetate,0.5,N-C-,0.006187974720129658,NaCl
472.9999219468087,56759.990633617046,3,21.952393667971027,0.22994097654408427,1.1810088425097285,glycerol,1.0,N-C-,0.009187004513305726,phosphate
200.74503659002235,24089.40434740826,4,24.954107290883385,0.23836172908757694,1.016156350109291,acetate,1.0,N-C-,0.003899039869316188,phosphate
472.9999219468087,56759.990633617046,3,21.952393667971027,0.22994097654408427,1.1810088425097285,glycerol,1.0,N-C-,0.02831396591874031,NaCl
