#Data File Name,Prokaryote Total RNA Nano_2021-02-25_15-58-04.xad
#Data File Path,C:\Users\cremerlab\Desktop
#Date Created,"Thursday, February 25, 2021 11:58:03 PM"
#Date Last Modified,"Friday, February 26, 2021 12:13:24 AM"
#Version Created,B.02.11.SI811
#Version Last Modified,B.02.11.SI811
# 
#Assay Name,Prokaryote Total RNA Nano Series II
#Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
#Assay Title,Prokaryote Total RNA Nano
#Assay Version,2.5
# 
#Number of Samples Run,4
# 
#Sample Name,Ladder
#Number of Events,1060
# 
Time,Value
30.55,0.2558067
30.6,0.2479054
30.65,0.2386039
30.7,0.2457556
30.75,0.2222272
30.8,0.175223
30.85,0.1787046
30.9,0.199716
30.95,0.2164732
31,0.2327448
31.05,0.2391489
31.1,0.2288069
31.15,0.2019547
31.2,0.2122607
31.25,0.2342431
31.3,0.2472793
31.35,0.2667035
31.4,0.2552001
31.45,0.2428323
31.5,0.266983
31.55,0.2614664
31.6,0.2470201
31.65,0.2377819
31.7,0.2643563
31.75,0.2575293
31.8,0.2366868
31.85,0.2497876
31.9,0.2719441
31.95,0.2718616
32,0.2851521
32.05,0.3157703
32.1,0.3374342
32.15,0.3389234
32.2,0.3558117
32.25,0.3876966
32.3,0.4279269
32.35,0.4606225
32.4,0.5105834
32.45,0.6197
32.5,0.9126409
32.55,1.533653
32.6,2.53475
32.65,4.057773
32.7,6.503743
32.75,10.47854
32.8,15.88165
32.85,21.52972
32.9,25.81833
32.95,27.32422
33,25.74392
33.05,21.99055
33.1,17.72934
33.15,14.20819
33.2,11.65531
33.25,9.84674
33.3,8.359653
33.35,6.931638
33.4,5.585851
33.45,4.375832
33.5,3.382179
33.55,2.571914
33.6,1.959253
33.65,1.539183
33.7,1.222658
33.75,1.006752
33.8,0.8426174
33.85,0.75269
33.9,0.6906731
33.95,0.6277048
34,0.5943474
34.05,0.5464987
34.1,0.4785663
34.15,0.432175
34.2,0.4089467
34.25,0.4025874
34.3,0.3994403
34.35,0.3976906
34.4,0.3881179
