# Data File Name,Prokaryote Total RNA Nano_2021-02-25_15-58-04.xad
# Data File Path,C:\Users\cremerlab\Desktop
# Date Created,"Thursday, February 25, 2021 11:58:03 PM"
# Date Last Modified,"Friday, February 26, 2021 12:13:24 AM"
# Version Created,B.02.11.SI811
# Version Last Modified,B.02.11.SI811
#  
# Assay Name,Prokaryote Total RNA Nano Series II
# Assay Path,C:\Program Files (x86)\Agilent\2100 bioanalyzer\2100 expert\assays\RNA
# Assay Title,Prokaryote Total RNA Nano
# Assay Version,2.5
#  
# Number of Samples Run,4
#  
# Sample Name,NCM3722_RNA_pilot
# Number of Events,1060
#  
Time,Value
30.75,1.180036
30.8,0.9772349
30.85,0.8225989
30.9,0.7231719
30.95,0.723747
31,0.7776208
31.05,0.8447959
31.1,0.9164189
31.15,0.9830674
31.2,1.053505
31.25,1.079909
31.3,1.132528
31.35,1.192747
31.4,1.24881
31.45,1.361222
31.5,1.544331
31.55,1.760894
31.6,1.967023
31.65,2.136981
31.7,2.259356
31.75,2.318441
31.8,2.386178
31.85,2.505598
31.9,2.654747
31.95,2.762681
32,2.740559
32.05,2.546202
32.1,2.210317
32.15,1.797518
32.2,1.40052
32.25,1.103697
32.3,0.9249135
32.35,0.8182967
32.4,0.7748591
32.45,0.7501734
32.5,0.7416891
32.55,0.7174979
32.6,0.6673213
32.65,0.6235963
32.7,0.589407
32.75,0.57445
32.8,0.5758438
32.85,0.5874747
32.9,0.5916908
32.95,0.5705162
33,0.5515199
33.05,0.5450588
33.1,0.5450612
33.15,0.5411446
33.2,0.5491084
33.25,0.6302418
33.3,0.7605687
33.35,0.858227
33.4,0.8362949
33.45,0.7239033
33.5,0.5605197
33.55,0.4276722
33.6,0.3828031
33.65,0.4091877
33.7,0.4445541
33.75,0.4435959
33.8,0.4131474
33.85,0.387638
33.9,0.3756875
33.95,0.3713553
34,0.3594405
34.05,0.3622031
34.1,0.3832873
34.15,0.3964655
34.2,0.3977967
34.25,0.4099732
34.3,0.4228116
34.35,0.4128803
34.4,0.4011632
34.45,0.3885277
34.5,0.3653835
34.55,0.3518539
34.6,0.3730183
34.65,0.4096332
34.7,0.4191731
34.75,0.4108448
34.8,0.3913157
34.85,0.3511181
34.9,0.3294435
34.95,0.304493
35,0.3110228
35.05,0.3523434
35.1,0.397213
35.15,0.4303111
35.2,0.4487557
35.25,0.4375141
35.3,0.4088453
35.35,0.3809057
35.4,0.3839586
35.45,0.385453
35.5,0.3927587
35.55,0.3929972
35.6,0.3712271
35.65,0.3458402
35.7,0.334388
35.75,0.3304955
35.8,0.3379658
35.85,0.3558804
35.9,0.3672782
35.95,0.345308
36,0.3280313
36.05,0.3249223
36.1,0.3063534
36.15,0.3027133
36.2,0.3022057
36.25,0.3195235
36.3,0.3278718
36.35,0.3494602
36.4,0.3609533
36.45,0.3575327
36.5,0.3491202
36.55,0.3483994
36.6,0.3423056
36.65,0.3554175
36.7,0.3699413
36.75,0.3728666
36.8,0.3611736
36.85,0.3639667
36.9,0.3621672
36.95,0.3935267
37,0.415491
37.05,0.422389
37.1,0.4161951
37.15,0.3908976
37.2,0.3647625
37.25,0.3435684
37.3,0.3537347
37.35,0.376432
37.4,0.390618
37.45,0.4030795
37.5,0.4052238
37.55,0.3924975
37.6,0.3756374
37.65,0.3577116
37.7,0.3554305
37.75,0.3626163
37.8,0.3842311
37.85,0.4251643
37.9,0.4381399
37.95,0.4341536
38,0.4150818
38.05,0.3887501
38.1,0.4006568
38.15,0.4095109
38.2,0.4256644
38.25,0.4486923
38.3,0.4483884
38.35,0.4537853
38.4,0.4559215
38.45,0.4558654
38.5,0.4538495
38.55,0.4252678
38.6,0.387109
38.65,0.3613667
38.7,0.3511714
38.75,0.355649
38.8,0.3569313
38.85,0.3613334
38.9,0.3528512
38.95,0.3413199
39,0.3623299
39.05,0.3938691
39.1,0.4176763
39.15,0.4256896
39.2,0.4315839
39.25,0.4480709
39.3,0.4580654
39.35,0.4835411
39.4,0.518443
39.45,0.5365338
39.5,0.5406913
39.55,0.5229637
39.6,0.4892134
39.65,0.4582623
39.7,0.4489949
39.75,0.4667631
39.8,0.4888327
39.85,0.501361
39.9,0.5149915
39.95,0.5083123
40,0.5036414
40.05,0.5196905
40.1,0.5591483
40.15,0.6132399
40.2,0.6577716
40.25,0.692785
40.3,0.6985279
40.35,0.6746858
40.4,0.6481578
40.45,0.6557332
40.5,0.6746069
40.55,0.706835
40.6,0.7383784
40.65,0.8047554
40.7,0.8370567
40.75,0.8889748
40.8,0.93379
40.85,0.8450859
40.9,1.801423
40.95,7.422888
41,20.30538
41.05,39.98902
41.1,62.08039
41.15,80.45529
41.2,90.31222
41.25,90.18268
41.3,82.83514
41.35,72.46538
41.4,61.90992
41.45,52.50376
41.5,44.79211
41.55,38.9486
41.6,34.7225
41.65,31.99804
41.7,30.49706
41.75,29.56729
41.8,28.54166
41.85,27.13942
41.9,25.15196
41.95,22.56139
42,19.64502
42.05,16.79409
42.1,14.22486
42.15,11.99729
42.2,10.03211
42.25,8.406281
42.3,6.956089
42.35,5.850495
42.4,4.912308
42.45,4.274387
42.5,3.764341
42.55,3.334655
42.6,2.917413
42.65,2.563561
42.7,2.312721
42.75,2.134841
42.8,1.991732
42.85,1.927803
42.9,1.838706
42.95,1.723086
43,1.655925
43.05,1.629281
43.1,1.605881
43.15,1.534685
43.2,1.454292
43.25,1.365009
43.3,1.308582
43.35,1.370133
43.4,1.399947
43.45,1.424276
43.5,1.519363
43.55,1.504653
43.6,1.450044
43.65,1.468783
43.7,1.613808
43.75,1.71256
43.8,1.774853
43.85,1.87774
43.9,2.048269
43.95,2.142132
44,2.214358
44.05,2.21577
44.1,2.201327
44.15,2.148496
44.2,2.106476
44.25,2.04129
44.3,1.930714
44.35,1.841495
44.4,1.855502
44.45,1.945554
44.5,2.111047
44.55,2.296484
44.6,2.374464
44.65,2.349171
44.7,2.325791
44.75,2.242663
44.8,2.137771
44.85,2.099054
44.9,2.192069
44.95,2.402395
45,2.466293
45.05,2.51363
45.1,2.466566
45.15,2.369497
45.2,2.226313
45.25,2.211084
45.3,2.334656
45.35,2.508109
45.4,2.956579
45.45,3.332598
45.5,3.408375
45.55,3.403245
45.6,3.268064
45.65,3.21772
45.7,3.321932
45.75,3.555509
45.8,3.654332
45.85,3.524838
45.9,3.532122
45.95,3.828336
46,5.123284
46.05,8.594441
46.1,15.48141
46.15,25.91066
46.2,39.49848
46.25,54.71348
46.3,69.72438
46.35,83.57533
46.4,95.38827
46.45,105.4761
46.5,112.3999
46.55,117.1249
46.6,118.9302
46.65,117.6948
46.7,113.52
46.75,107.5503
46.8,100.4027
46.85,92.26975
46.9,83.53842
46.95,74.52495
47,64.88447
47.05,55.71257
47.1,47.89378
47.15,41.65693
47.2,36.39997
47.25,32.19853
47.3,28.51042
47.35,24.96968
47.4,22.02738
47.45,19.73551
47.5,18.05432
47.55,16.52231
47.6,15.2964
47.65,14.45232
47.7,13.36309
47.75,12.19152
47.8,11.12946
47.85,10.3239
47.9,9.852047
47.95,9.347861
48,9.52241
48.05,10.02431
48.1,10.1633
48.15,10.14438
48.2,9.725934
48.25,8.881923
48.3,7.854294
48.35,7.427487
48.4,7.406167
48.45,7.168083
48.5,6.891033
48.55,6.282934
48.6,5.470506
48.65,4.943508
48.7,4.902935
48.75,5.221275
48.8,5.640024
48.85,5.779483
48.9,5.498696
48.95,5.040229
49,5.015836
49.05,4.832424
49.1,4.811802
49.15,4.612392
49.2,4.473942
49.25,3.788918
49.3,3.540227
49.35,3.704377
49.4,3.70009
49.45,3.457361
49.5,3.298315
49.55,2.857908
49.6,2.611604
49.65,2.359172
49.7,2.211132
49.75,1.951093
49.8,1.743032
49.85,1.645196
49.9,1.725922
49.95,2.106616
50,2.405313
50.05,2.700536
50.1,3.059587
50.15,3.189508
50.2,3.152596
50.25,3.042144
50.3,3.019235
50.35,2.98069
50.4,3.086053
50.45,3.374796
50.5,3.28379
50.55,3.26437
50.6,3.461061
50.65,3.516059
50.7,3.703809
50.75,3.882652
50.8,3.813449
50.85,3.551578
50.9,3.267239
50.95,3.091724
51,2.818845
51.05,2.611043
51.1,2.49258
51.15,2.384056
51.2,2.297092
51.25,2.272418
51.3,2.252597
51.35,2.131874
51.4,1.949032
51.45,1.755989
51.5,1.614956
51.55,1.528629
51.6,1.520685
51.65,1.538637
51.7,1.531588
51.75,1.453982
51.8,1.350561
51.85,1.288901
51.9,1.258471
51.95,1.175711
52,1.150213
52.05,1.13537
52.1,1.116065
52.15,1.045619
52.2,1.058937
52.25,1.088023
52.3,1.03954
52.35,1.066646
52.4,1.118822
52.45,1.133294
52.5,1.141174
52.55,1.165147
52.6,1.189436
52.65,1.234528
52.7,1.329476
52.75,1.425992
52.8,1.423145
52.85,1.39006
52.9,1.374954
52.95,1.315804
53,1.318377
53.05,1.379961
53.1,1.396658
53.15,1.358754
53.2,1.325842
53.25,1.301078
53.3,1.28064
53.35,1.264191
53.4,1.283863
53.45,1.321331
53.5,1.310138
53.55,1.312679
53.6,1.280965
53.65,1.220824
53.7,1.144312
53.75,1.076726
53.8,1.066662
53.85,1.098237
53.9,1.097331
53.95,1.095892
54,1.049323
54.05,0.9704084
54.1,0.9024202
54.15,0.9089712
54.2,0.9691835
54.25,1.005005
54.3,0.9746621
54.35,0.9290162
54.4,0.9132996
54.45,0.9104456
54.5,0.9012978
54.55,0.9011468
54.6,0.912513
54.65,0.848926
54.7,0.8120784
54.75,0.835927
54.8,0.7839985
54.85,0.7894961
54.9,0.7894937
54.95,0.7941638
55,0.7622041
55.05,0.6993085
55.1,0.6718611
55.15,0.6378266
55.2,0.6738835
55.25,0.7717144
55.3,0.752362
55.35,0.7258494
55.4,0.7189329
55.45,0.665621
55.5,0.6261613
55.55,0.6578097
55.6,0.6926913
55.65,0.6677553
55.7,0.6490701
55.75,0.6841923
55.8,0.6875407
55.85,0.6671692
55.9,0.6505107
55.95,0.6016145
56,0.5364599
56.05,0.5333189
56.1,0.6092132
56.15,0.7315915
56.2,0.7635757
56.25,0.7558327
56.3,0.6840907
56.35,0.5776829
56.4,0.4998644
56.45,0.4716552
56.5,0.5203479
56.55,0.5732268
56.6,0.6189146
56.65,0.6110036
56.7,0.5668432
56.75,0.5351827
56.8,0.566262
56.85,0.7011304
56.9,0.7812412
