[Header]
Application Name,LabSolutions
2.30833,-149
2.31667,-150
2.32500,-151
2.33333,-152
2.34167,-152
2.35000,-153
2.35833,-153
2.36667,-154
2.37500,-154
2.38333,-155
2.39167,-156
2.40000,-156
2.40833,-157
2.41667,-157
2.42500,-158
2.43333,-158
2.44167,-159
2.45000,-159
2.45833,-160
2.46667,-161
2.47500,-161
2.48333,-162
2.49167,-163
2.50000,-163
2.50833,-164
2.51667,-164
2.52500,-165
2.53333,-165
2.54167,-166
2.55000,-167
2.55833,-167
2.56667,-167
2.57500,-168
2.58333,-169
2.59167,-169
2.60000,-170
2.60833,-171
2.61667,-171
2.62500,-172
2.63333,-172
2.64167,-173
2.65000,-173
2.65833,-174
2.66667,-175
2.67500,-175
2.68333,-176
2.69167,-177
2.70000,-177
2.70833,-177
2.71667,-178
2.72500,-178
2.73333,-179
2.74167,-180
2.75000,-180
2.75833,-180
2.76667,-181
2.77500,-181
2.78333,-182
2.79167,-183
2.80000,-184
2.80833,-184
2.81667,-185
2.82500,-185
2.83333,-186
2.84167,-186
2.85000,-187
2.85833,-188
2.86667,-188
2.87500,-189
2.88333,-190
2.89167,-190
2.90000,-191
2.90833,-191
2.91667,-192
2.92500,-193
2.93333,-194
2.94167,-194
2.95000,-195
2.95833,-195
2.96667,-196
2.97500,-197
2.98333,-197
2.99167,-198
3.00000,-199
3.00833,-199
3.01667,-200
3.02500,-201
3.03333,-201
3.04167,-202
3.05000,-202
3.05833,-203
3.06667,-203
3.07500,-204
3.08333,-205
3.09167,-205
3.10000,-206
3.10833,-207
3.11667,-207
3.12500,-208
3.13333,-209
3.14167,-210
3.15000,-210
3.15833,-211
3.16667,-212
3.17500,-212
3.18333,-213
3.19167,-213
3.20000,-214
3.20833,-214
3.21667,-215
3.22500,-215
3.23333,-216
3.24167,-217
3.25000,-217
3.25833,-218
3.26667,-218
3.27500,-219
3.28333,-219
3.29167,-220
3.30000,-221
3.30833,-222
3.31667,-222
3.32500,-223
3.33333,-224
3.34167,-225
3.35000,-225
3.35833,-226
3.36667,-226
3.37500,-226
3.38333,-226
3.39167,-227
3.40000,-228
3.40833,-228
3.41667,-229
3.42500,-230
3.43333,-230
3.44167,-231
3.45000,-232
3.45833,-232
3.46667,-233
3.47500,-234
3.48333,-234
3.49167,-235
3.50000,-236
3.50833,-236
3.51667,-237
3.52500,-238
3.53333,-238
3.54167,-239
3.55000,-240
3.55833,-240
3.56667,-241
3.57500,-242
3.58333,-242
3.59167,-243
3.60000,-244
3.60833,-245
3.61667,-245
3.62500,-246
3.63333,-246
3.64167,-247
3.65000,-248
3.65833,-249
3.66667,-249
3.67500,-250
3.68333,-250
3.69167,-251
3.70000,-252
3.70833,-252
3.71667,-253
3.72500,-253
3.73333,-253
3.74167,-254
3.75000,-255
3.75833,-256
3.76667,-257
3.77500,-257
3.78333,-258
3.79167,-258
3.80000,-259
3.80833,-260
3.81667,-260
3.82500,-260
3.83333,-261
3.84167,-262
3.85000,-263
3.85833,-263
3.86667,-264
3.87500,-264
3.88333,-265
3.89167,-265
3.90000,-266
3.90833,-267
3.91667,-268
3.92500,-268
3.93333,-268
3.94167,-269
3.95000,-269
3.95833,-269
3.96667,-270
3.97500,-271
3.98333,-271
3.99167,-272
4.00000,-272
4.00833,-273
4.01667,-274
4.02500,-275
4.03333,-276
4.04167,-276
4.05000,-277
4.05833,-278
4.06667,-279
4.07500,-279
4.08333,-280
4.09167,-280
4.10000,-281
4.10833,-281
4.11667,-282
4.12500,-282
4.13333,-282
4.14167,-283
4.15000,-284
4.15833,-284
4.16667,-285
4.17500,-286
4.18333,-287
4.19167,-288
4.20000,-288
4.20833,-289
4.21667,-290
4.22500,-290
4.23333,-291
4.24167,-291
4.25000,-291
4.25833,-292
4.26667,-292
4.27500,-292
4.28333,-293
4.29167,-294
4.30000,-294
4.30833,-295
4.31667,-296
4.32500,-297
4.33333,-298
4.34167,-298
4.35000,-299
4.35833,-299
4.36667,-300
4.37500,-301
4.38333,-302
4.39167,-303
4.40000,-304
4.40833,-305
4.41667,-306
4.42500,-307
4.43333,-307
4.44167,-308
4.45000,-309
4.45833,-309
4.46667,-310
4.47500,-310
4.48333,-310
4.49167,-311
4.50000,-311
4.50833,-312
4.51667,-313
4.52500,-314
4.53333,-314
4.54167,-315
4.55000,-316
4.55833,-316
4.56667,-317
4.57500,-317
4.58333,-318
4.59167,-318
4.60000,-319
4.60833,-320
4.61667,-320
4.62500,-321
4.63333,-322
4.64167,-323
4.65000,-323
4.65833,-323
4.66667,-324
4.67500,-325
4.68333,-326
4.69167,-327
4.70000,-328
4.70833,-328
4.71667,-329
4.72500,-329
4.73333,-330
4.74167,-330
4.75000,-330
4.75833,-331
4.76667,-332
4.77500,-332
4.78333,-333
4.79167,-333
4.80000,-334
4.80833,-335
4.81667,-336
4.82500,-337
4.83333,-337
4.84167,-337
4.85000,-338
4.85833,-339
4.86667,-339
4.87500,-340
4.88333,-340
4.89167,-341
4.90000,-342
4.90833,-343
4.91667,-344
4.92500,-344
4.93333,-345
4.94167,-345
4.95000,-346
4.95833,-346
4.96667,-347
4.97500,-348
4.98333,-349
4.99167,-350
5.00000,-351
5.00833,-351
5.01667,-352
5.02500,-352
5.03333,-353
5.04167,-353
5.05000,-353
5.05833,-354
5.06667,-355
5.07500,-356
5.08333,-356
5.09167,-357
5.10000,-358
5.10833,-359
5.11667,-359
5.12500,-360
5.13333,-360
5.14167,-361
5.15000,-361
5.15833,-361
5.16667,-362
5.17500,-363
5.18333,-364
5.19167,-364
5.20000,-365
5.20833,-366
5.21667,-366
5.22500,-367
5.23333,-368
5.24167,-368
5.25000,-369
5.25833,-370
5.26667,-371
5.27500,-372
