[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\batch_template_3182021_001_010.lcd
Output Date,3/18/2021
Output Time,7:02:01 PM

[File Information]
Type,Data File
Generated,3/18/2021 6:16:43 PM
Generated by,System Administrator
Modified,3/18/2021 7:02:01 PM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,3/18/2021 6:17:01 PM
Sample Type,1:Standard
Level,1
Sample Name,2021-03-18_MgSO4
Sample ID,001
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,22
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\batch_template_3182021_001_010.lcd
Method File,C:\LabSolutions\Data\Project1\organicacidsetc2.lcm
Batch File,C:\Users\cremerlab\Desktop\batch_template.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector B-Ch1)]
Interval(msec),500
# of Points,5401
Start Time(min),0.000
End Time(min),45.000
Intensity Units,mV
Intensity Multiplier,0.001
R.Time (min),Intensity
0.00000,-9
0.00833,-9
0.01667,-1
0.02500,-4
0.03333,-9
0.04167,-14
0.05000,-18
0.05833,-21
0.06667,-22
0.07500,-22
0.08333,-21
0.09167,-20
0.10000,-20
0.10833,-19
0.11667,-18
0.12500,-17
0.13333,-16
0.14167,-16
0.15000,-17
0.15833,-17
0.16667,-18
0.17500,-19
0.18333,-19
0.19167,-20
0.20000,-21
0.20833,-21
0.21667,-22
0.22500,-22
0.23333,-22
0.24167,-22
0.25000,-22
0.25833,-22
0.26667,-23
0.27500,-24
0.28333,-25
0.29167,-26
0.30000,-27
0.30833,-28
0.31667,-30
0.32500,-30
0.33333,-31
0.34167,-32
0.35000,-33
0.35833,-34
0.36667,-35
0.37500,-36
0.38333,-37
0.39167,-38
0.40000,-38
0.40833,-39
0.41667,-39
0.42500,-40
0.43333,-41
0.44167,-42
0.45000,-43
0.45833,-44
0.46667,-45
0.47500,-46
0.48333,-46
0.49167,-47
0.50000,-48
0.50833,-48
0.51667,-49
0.52500,-49
0.53333,-49
0.54167,-49
0.55000,-49
0.55833,-49
0.56667,-49
0.57500,-49
0.58333,-48
0.59167,-49
0.60000,-49
0.60833,-50
0.61667,-52
0.62500,-53
0.63333,-55
0.64167,-58
0.65000,-60
0.65833,-63
0.66667,-65
0.67500,-68
0.68333,-71
0.69167,-74
0.70000,-76
0.70833,-78
0.71667,-80
0.72500,-81
0.73333,-82
0.74167,-83
0.75000,-84
0.75833,-84
0.76667,-85
0.77500,-85
0.78333,-85
0.79167,-85
0.80000,-85
0.80833,-85
0.81667,-86
0.82500,-86
0.83333,-86
0.84167,-86
0.85000,-86
0.85833,-87
0.86667,-87
0.87500,-87
0.88333,-88
0.89167,-88
0.90000,-89
0.90833,-89
0.91667,-90
0.92500,-90
0.93333,-91
0.94167,-92
0.95000,-92
0.95833,-93
0.96667,-93
0.97500,-94
0.98333,-94
0.99167,-95
1.00000,-96
1.00833,-97
1.01667,-98
1.02500,-98
1.03333,-99
1.04167,-100
1.05000,-101
1.05833,-102
1.06667,-103
1.07500,-104
1.08333,-104
1.09167,-105
1.10000,-105
1.10833,-105
1.11667,-106
1.12500,-107
1.13333,-108
1.14167,-109
1.15000,-110
1.15833,-111
1.16667,-112
1.17500,-112
1.18333,-113
1.19167,-113
1.20000,-114
1.20833,-114
1.21667,-115
1.22500,-115
1.23333,-116
1.24167,-118
1.25000,-119
1.25833,-120
1.26667,-121
1.27500,-121
1.28333,-122
1.29167,-123
1.30000,-124
1.30833,-125
1.31667,-126
1.32500,-126
1.33333,-127
1.34167,-128
1.35000,-128
1.35833,-129
1.36667,-130
1.37500,-131
1.38333,-132
1.39167,-133
1.40000,-134
1.40833,-135
1.41667,-136
