[Header]
Application Name,LabSolutions
Version,5.97 SP1
Data File Name,C:\Users\cremerlab\Desktop\batch_template_3182021_001_006.lcd
Output Date,3/18/2021
Output Time,4:00:41 PM

[File Information]
Type,Data File
Generated,3/18/2021 3:15:21 PM
Generated by,System Administrator
Modified,3/18/2021 4:00:41 PM
Modified by,System Administrator

[Sample Information]
Operator Name,System Administrator
Acquired,3/18/2021 3:15:40 PM
Sample Type,1:Standard
Level,1
Sample Name,2021-03-18_NC_base001
Sample ID,001
ISTD Amount1,1
ISTD Amount2,1
ISTD Amount3,1
ISTD Amount4,1
ISTD Amount5,1
ISTD Amount6,1
ISTD Amount7,1
ISTD Amount8,1
ISTD Amount9,1
ISTD Amount10,1
ISTD Amount11,1
ISTD Amount12,1
ISTD Amount13,1
ISTD Amount14,1
ISTD Amount15,1
ISTD Amount16,1
ISTD Amount17,1
ISTD Amount18,1
ISTD Amount19,1
ISTD Amount20,1
ISTD Amount21,1
ISTD Amount22,1
ISTD Amount23,1
ISTD Amount24,1
ISTD Amount25,1
ISTD Amount26,1
ISTD Amount27,1
ISTD Amount28,1
ISTD Amount29,1
ISTD Amount30,1
ISTD Amount31,1
ISTD Amount32,1
Sample Amount,1
Dilution Factor,1
Vial#,6
Injection Volume,20

[Original Files]
Data File,C:\Users\cremerlab\Desktop\batch_template_3182021_001_006.lcd
Method File,C:\LabSolutions\Data\Project1\organicacidsetc2.lcm
Batch File,C:\Users\cremerlab\Desktop\batch_template.lcb
Report Format File,c:\LabSolutions\System\DEFAULT.lsr

[File Description]


[Configuration]
Instrument Name,HPLC-PC-Instrument1
Instrument #,1
Line #,1
# of Detectors,2
Detector ID,Detector A,Detector B
Detector Name,Detector A,Detector B
# of Channels,1,1

[LC Chromatogram(Detector B-Ch1)]
Interval(msec),500
# of Points,5401
Start Time(min),0.000
End Time(min),45.000
Intensity Units,mV
Intensity Multiplier,0.001
R.Time (min),Intensity
0.00000,-8
0.00833,-8
0.01667,-4
0.02500,-2
0.03333,-6
0.04167,-12
0.05000,-16
0.05833,-19
0.06667,-21
0.07500,-21
0.08333,-20
0.09167,-18
0.10000,-16
0.10833,-14
0.11667,-12
0.12500,-10
0.13333,-8
0.14167,-7
0.15000,-6
0.15833,-5
0.16667,-5
0.17500,-4
0.18333,-4
0.19167,-4
0.20000,-5
0.20833,-5
0.21667,-6
0.22500,-6
0.23333,-5
0.24167,-5
0.25000,-4
0.25833,-4
0.26667,-4
0.27500,-4
0.28333,-4
0.29167,-5
0.30000,-5
0.30833,-6
0.31667,-6
0.32500,-7
0.33333,-7
0.34167,-8
0.35000,-8
0.35833,-9
0.36667,-10
0.37500,-11
0.38333,-11
0.39167,-12
0.40000,-12
0.40833,-12
0.41667,-12
0.42500,-12
0.43333,-12
0.44167,-12
0.45000,-12
0.45833,-12
0.46667,-12
0.47500,-13
0.48333,-13
0.49167,-13
0.50000,-14
0.50833,-14
0.51667,-14
0.52500,-14
0.53333,-14
0.54167,-13
0.55000,-13
0.55833,-11
