well,od_600nm,time_s,temp_C,instrument,medium,sample,replicate
B10,0.0877,68810.72,37.1,Tecan Spark,water,blank,0
B10,0.0877,69206.23599999999,37.1,Tecan Spark,water,blank,0
B10,0.0876,69601.688,37.1,Tecan Spark,water,blank,0
B10,0.0876,6723.215999999999,37.1,Tecan Spark,water,blank,0
B10,0.0875,7118.621999999999,37.0,Tecan Spark,water,blank,0
B10,0.0876,395.895,36.9,Tecan Spark,water,blank,0
B10,0.0877,7514.14,37.0,Tecan Spark,water,blank,0
B10,0.0876,7909.5380000000005,37.1,Tecan Spark,water,blank,0
B10,0.0875,8304.979,37.1,Tecan Spark,water,blank,0
B10,0.0876,8700.431999999999,37.1,Tecan Spark,water,blank,0
B10,0.0876,9095.915,37.1,Tecan Spark,water,blank,0
B10,0.0876,9491.358,37.0,Tecan Spark,water,blank,0
B10,0.0876,9886.845,37.1,Tecan Spark,water,blank,0
B10,0.0876,10282.325,37.0,Tecan Spark,water,blank,0
B10,0.0876,10677.858999999999,37.0,Tecan Spark,water,blank,0
B10,0.0876,11073.263,37.1,Tecan Spark,water,blank,0
B10,0.0876,791.329,37.1,Tecan Spark,water,blank,0
B10,0.0877,11468.638,37.1,Tecan Spark,water,blank,0
B10,0.0876,11864.122,37.1,Tecan Spark,water,blank,0
B10,0.0876,12259.533000000001,37.0,Tecan Spark,water,blank,0
B10,0.0876,12654.952,37.0,Tecan Spark,water,blank,0
B10,0.0876,13050.472,37.1,Tecan Spark,water,blank,0
B10,0.0875,13445.912,37.1,Tecan Spark,water,blank,0
B10,0.0877,13841.317,37.1,Tecan Spark,water,blank,0
B10,0.0876,14236.86,37.1,Tecan Spark,water,blank,0
B10,0.0876,14632.383,37.1,Tecan Spark,water,blank,0
B10,0.0876,15027.768,37.0,Tecan Spark,water,blank,0
B10,0.0875,1186.776,37.1,Tecan Spark,water,blank,0
B10,0.0877,15423.316,37.0,Tecan Spark,water,blank,0
B10,0.0876,15818.79,37.1,Tecan Spark,water,blank,0
B10,0.0876,16214.211000000001,37.1,Tecan Spark,water,blank,0
B10,0.0877,16609.68,37.1,Tecan Spark,water,blank,0
B10,0.0877,17005.23,37.1,Tecan Spark,water,blank,0
B10,0.0877,17400.676,37.0,Tecan Spark,water,blank,0
B10,0.0877,17796.21,37.0,Tecan Spark,water,blank,0
B10,0.0875,18191.621,37.0,Tecan Spark,water,blank,0
B10,0.0876,18586.988,37.1,Tecan Spark,water,blank,0
B10,0.0877,18982.522,37.1,Tecan Spark,water,blank,0
B10,0.0876,1582.207,37.1,Tecan Spark,water,blank,0
B10,0.0876,19377.974,37.1,Tecan Spark,water,blank,0
B10,0.0876,19773.387,37.1,Tecan Spark,water,blank,0
B10,0.0875,20168.877,37.0,Tecan Spark,water,blank,0
B10,0.0875,20564.348,37.1,Tecan Spark,water,blank,0
B10,0.0875,20959.764,37.0,Tecan Spark,water,blank,0
B10,0.0877,21355.301,37.1,Tecan Spark,water,blank,0
B10,0.0875,21750.797000000002,37.1,Tecan Spark,water,blank,0
B10,0.0877,22146.206000000002,37.1,Tecan Spark,water,blank,0
B10,0.0877,22541.742000000002,37.1,Tecan Spark,water,blank,0
B10,0.0875,22937.279,37.0,Tecan Spark,water,blank,0
B10,0.0876,1977.7379999999998,37.0,Tecan Spark,water,blank,0
B10,0.0875,23332.647,37.0,Tecan Spark,water,blank,0
B10,0.0876,23728.11,37.0,Tecan Spark,water,blank,0
B10,0.0876,24123.597999999998,37.1,Tecan Spark,water,blank,0
B10,0.0876,24519.004,37.1,Tecan Spark,water,blank,0
B10,0.0876,24914.467,37.1,Tecan Spark,water,blank,0
B10,0.0876,25309.928,37.0,Tecan Spark,water,blank,0
B10,0.0875,25705.367000000002,37.0,Tecan Spark,water,blank,0
B10,0.0875,26100.841,37.0,Tecan Spark,water,blank,0
B10,0.0875,26496.277000000002,37.1,Tecan Spark,water,blank,0
B10,0.0876,26891.839,37.1,Tecan Spark,water,blank,0
B10,0.0876,2373.27,37.1,Tecan Spark,water,blank,0
B10,0.0875,27287.325,37.1,Tecan Spark,water,blank,0
B10,0.0877,27682.724,37.1,Tecan Spark,water,blank,0
B10,0.0876,28078.257999999998,37.0,Tecan Spark,water,blank,0
B10,0.0876,28473.697,37.0,Tecan Spark,water,blank,0
B10,0.0877,28869.097999999998,37.0,Tecan Spark,water,blank,0
B10,0.0876,29264.577,37.1,Tecan Spark,water,blank,0
B10,0.0876,29660.071,37.1,Tecan Spark,water,blank,0
B10,0.0876,30055.482000000004,37.1,Tecan Spark,water,blank,0
B10,0.0876,30450.995,37.1,Tecan Spark,water,blank,0
B10,0.0877,30846.442000000003,37.1,Tecan Spark,water,blank,0
B10,0.0876,2768.6820000000002,37.1,Tecan Spark,water,blank,0
B10,0.0876,31241.981,37.0,Tecan Spark,water,blank,0
