slope,intercept,sigma,buffer_base,compound,area_param
0.00744645,0.00111078,0.0035127,DM,acetate,rel_area_phosphate
0.00736202,-0.00376773,0.00770572,DM,acetate,rel_area_phosphate
0.00725031,0.0011231,0.00325204,DM,acetate,rel_area_phosphate
0.0072848,-6.81341e-05,0.00367537,DM,acetate,rel_area_phosphate
0.00737029,0.000126447,0.00461053,DM,acetate,rel_area_phosphate
0.00721843,-0.00272504,0.0068045,DM,acetate,rel_area_phosphate
0.00727967,0.000132999,0.00357915,DM,acetate,rel_area_phosphate
0.00755035,-0.00363942,0.00365321,DM,acetate,rel_area_phosphate
0.00713756,0.00187604,0.00361214,DM,acetate,rel_area_phosphate
0.00728443,0.00031939,0.00630681,DM,acetate,rel_area_phosphate
0.00724452,9.47726e-05,0.00554979,DM,acetate,rel_area_phosphate
0.00720219,0.000770645,0.00455106,DM,acetate,rel_area_phosphate
0.00730527,0.000975684,0.0056716,DM,acetate,rel_area_phosphate
0.00736784,-0.0019992,0.00535179,DM,acetate,rel_area_phosphate
0.00723509,-3.05798e-06,0.00591475,DM,acetate,rel_area_phosphate
0.00736011,-0.0016176,0.00301217,DM,acetate,rel_area_phosphate
0.00733773,-0.000728155,0.00342375,DM,acetate,rel_area_phosphate
0.00734698,-0.00145965,0.00343493,DM,acetate,rel_area_phosphate
0.00734404,-8.16676e-05,0.00480093,DM,acetate,rel_area_phosphate
0.00746235,-0.00215642,0.0028731,DM,acetate,rel_area_phosphate
0.00745469,-0.00218118,0.00375479,DM,acetate,rel_area_phosphate
0.00747673,-0.00103244,0.00450751,DM,acetate,rel_area_phosphate
0.00760632,-0.00483644,0.00568869,DM,acetate,rel_area_phosphate
0.00743756,-0.00216045,0.00548526,DM,acetate,rel_area_phosphate
0.00760353,-0.00469221,0.00540983,DM,acetate,rel_area_phosphate
0.00709522,-0.00277447,0.00632453,DM,acetate,rel_area_phosphate
0.007082,0.00346006,0.00679662,DM,acetate,rel_area_phosphate
0.00755542,-0.00447238,0.00438299,DM,acetate,rel_area_phosphate
0.00748114,-0.00370776,0.00434794,DM,acetate,rel_area_phosphate
0.00741583,-0.00173424,0.00445747,DM,acetate,rel_area_phosphate
0.00745702,-0.00196874,0.00348216,DM,acetate,rel_area_phosphate
0.00741919,-0.00135129,0.0034889,DM,acetate,rel_area_phosphate
0.00730017,-0.000559987,0.00282554,DM,acetate,rel_area_phosphate
0.0074052,-0.00127736,0.00446409,DM,acetate,rel_area_phosphate
0.00756676,-0.00211661,0.00585978,DM,acetate,rel_area_phosphate
0.00733035,0.00022061,0.0052235,DM,acetate,rel_area_phosphate
0.00739815,-0.000748595,0.00470402,DM,acetate,rel_area_phosphate
0.00731292,-0.0011319,0.00352992,DM,acetate,rel_area_phosphate
0.00735561,-0.000279696,0.00495802,DM,acetate,rel_area_phosphate
0.00739859,-0.000781819,0.00374889,DM,acetate,rel_area_phosphate
0.00737251,-0.0018744,0.00346283,DM,acetate,rel_area_phosphate
0.00744481,-0.00118984,0.00460376,DM,acetate,rel_area_phosphate
0.00712263,0.00168599,0.00388641,DM,acetate,rel_area_phosphate
0.00771398,-0.00348524,0.00628203,DM,acetate,rel_area_phosphate
0.00781768,-0.00532493,0.00609613,DM,acetate,rel_area_phosphate
0.00748968,-0.000551845,0.00751541,DM,acetate,rel_area_phosphate
0.00740051,-0.00072631,0.00406832,DM,acetate,rel_area_phosphate
0.00733907,-0.000737861,0.00478012,DM,acetate,rel_area_phosphate
0.00733791,-0.000915992,0.00353865,DM,acetate,rel_area_phosphate
0.00741451,-0.00161465,0.00402226,DM,acetate,rel_area_phosphate
0.0072881,-0.000340321,0.00460892,DM,acetate,rel_area_phosphate
0.00715103,0.00264447,0.00727712,DM,acetate,rel_area_phosphate
0.00704965,0.00292498,0.00553117,DM,acetate,rel_area_phosphate
0.00711767,0.001902,0.00752081,DM,acetate,rel_area_phosphate
0.00728917,-0.00130872,0.00308727,DM,acetate,rel_area_phosphate
0.00734853,-0.00174858,0.00303979,DM,acetate,rel_area_phosphate
0.00753453,-0.00129979,0.0060432,DM,acetate,rel_area_phosphate
0.00743886,-0.000194234,0.00741468,DM,acetate,rel_area_phosphate
0.00746451,-0.00271318,0.00630608,DM,acetate,rel_area_phosphate
