peak_idx,retention_time,arrival_time,departure_time,area,height,detector,carbon_conc_mM,buffer_base,compound
3,15.66,15.083,18.458,1888391,76558,B,20.0,NC,glucose
4,22.057,21.333,23.342,551179,20082,B,20.0,NC,glycerol
5,25.015,24.292,26.075,237629,8024,B,20.0,NC,acetate
1,11.0,10.6,11.9,1360720,80431,B,25.0,NC,NaCl
2,14.347,12.625,15.083,3550056,80828,B,25.0,NC,
3,15.662,15.083,18.592,2356023,95692,B,25.0,NC,glucose
4,22.059,21.3,23.717,692632,25135,B,25.0,NC,glycerol
5,25.014,24.267,26.075,297049,10029,B,25.0,NC,acetate
1,10.884,10.417,11.3,229061,13284,B,30.0,DM,NaCl
2,11.657,11.3,12.575,31518,714,B,30.0,DM,
3,13.899,12.575,14.175,1574157,42704,B,30.0,DM,phosphate
4,14.322,14.175,15.008,154910,8153,B,30.0,DM,
5,15.675,15.008,18.125,2829841,114556,B,30.0,DM,glucose
6,22.065,21.333,23.7,841465,30334,B,30.0,DM,glycerol
7,25.03,24.292,26.042,356501,11963,B,30.0,DM,acetate
1,10.888,10.425,12.067,248248,14651,B,5.0,DM,NaCl
2,13.963,12.542,14.225,1793873,47046,B,5.0,DM,phosphate
3,14.334,14.225,15.025,174893,10131,B,5.0,DM,
4,15.677,15.025,16.892,587209,23733,B,5.0,DM,glucose
5,22.068,21.408,23.05,159838,5823,B,5.0,DM,glycerol
6,25.041,24.392,26.058000000000003,62981,2127,B,5.0,DM,acetate
1,11.015,10.592,12.158,1712445,99436,B,10.0,NC,NaCl
2,14.578,12.642,15.175,5283526,111696,B,10.0,NC,
3,15.662,15.175,18.55,1513220,60685,B,10.0,NC,glucose
4,22.052,21.333,23.242,408326,14856,B,10.0,NC,glycerol
5,25.011,24.325,26.0,163463,5537,B,10.0,NC,acetate
1,10.885,10.425,12.033,240921,14339,B,1.0,DM,NaCl
2,13.96,12.542,14.225,1801832,47178,B,1.0,DM,phosphate
3,14.33,14.225,15.058,175164,10218,B,1.0,DM,
4,15.67,15.058,16.775,129577,5044,B,1.0,DM,glucose
5,22.057,21.5,23.025,33027,1201,B,1.0,DM,glycerol
6,25.029,24.5,25.642,12367,437,B,1.0,DM,acetate
1,10.887,10.417,11.75,272416,15955,B,20.0,DM,NaCl
2,13.996,12.55,14.258,1946133,49768,B,20.0,DM,phosphate
3,14.33,14.258,15.017,178711,11495,B,20.0,DM,
4,15.673,15.017,17.683,2537509,102832,B,20.0,DM,glucose
5,22.06,21.317,23.208,693163,25110,B,20.0,DM,glycerol
6,25.028,24.308000000000003,26.0,270852,9082,B,20.0,DM,acetate
1,10.880999999999998,10.425,11.817,225436,13327,B,15.0,DM,NaCl
2,13.897,12.567,14.175,1573727,42746,B,15.0,DM,phosphate
3,14.32,14.175,15.025,154292,8164,B,15.0,DM,
4,15.671,15.025,17.817,1417980,57221,B,15.0,DM,glucose
5,19.074,18.833,19.567,1017,47,B,15.0,DM,
6,22.061,21.342,23.275,419612,15161,B,15.0,DM,glycerol
7,25.031,24.342,26.233,179591,6003,B,15.0,DM,acetate
1,11.005999999999998,10.6,12.192,1448992,84645,B,0.0,NC,NaCl
2,14.466,12.642,17.333,4354312,95115,B,0.0,NC,
