well,od_600nm,time_s,temp_C,instrument,strain,replicate
B10,0.07710000128,55477.8,37.3,infinite,blank,0
B10,0.07779999822,5311.3,37.1,infinite,blank,0
B10,0.07729999721,55772.8,37.2,infinite,blank,0
B10,0.07710000128,56068.0,37.6,infinite,blank,0
B10,0.07720000297,56363.1,36.9,infinite,blank,0
B10,0.07720000297,56658.1,37.4,infinite,blank,0
B10,0.07710000128,56953.2,37.5,infinite,blank,0
B10,0.07710000128,57248.3,37.1,infinite,blank,0
B10,0.07729999721,57543.4,37.6,infinite,blank,0
B10,0.07720000297,57838.5,37.3,infinite,blank,0
B10,0.0773999989,58133.6,37.2,infinite,blank,0
B10,0.07710000128,58428.7,37.6,infinite,blank,0
B10,0.07829999924,294.8,37.3,infinite,blank,0
B10,0.07779999822,5606.4,37.5,infinite,blank,0
B10,0.0773999989,58723.8,36.9,infinite,blank,0
B10,0.0773999989,59018.9,37.5,infinite,blank,0
B10,0.0775000006,59314.0,37.3,infinite,blank,0
B10,0.07720000297,59609.1,37.3,infinite,blank,0
B10,0.07729999721,59904.2,37.6,infinite,blank,0
B10,0.07729999721,60199.3,37.4,infinite,blank,0
B10,0.07729999721,60494.4,37.3,infinite,blank,0
B10,0.07729999721,60789.4,37.5,infinite,blank,0
B10,0.0775000006,61084.5,37.2,infinite,blank,0
B10,0.07720000297,61379.6,37.3,infinite,blank,0
B10,0.07769999653,5901.5,37.2,infinite,blank,0
B10,0.0775000006,61674.7,37.5,infinite,blank,0
B10,0.07729999721,61969.8,37.0,infinite,blank,0
B10,0.07710000128,62264.9,37.5,infinite,blank,0
B10,0.07720000297,62560.0,37.3,infinite,blank,0
B10,0.0773999989,62855.1,37.4,infinite,blank,0
B10,0.07710000128,63150.2,37.6,infinite,blank,0
B10,0.0773999989,63445.3,37.2,infinite,blank,0
B10,0.07729999721,63740.4,37.6,infinite,blank,0
B10,0.07729999721,64035.5,37.0,infinite,blank,0
B10,0.07710000128,64330.6,37.6,infinite,blank,0
B10,0.07800000161000001,6196.6,37.2,infinite,blank,0
B10,0.0773999989,64625.7,36.9,infinite,blank,0
B10,0.07720000297,64920.8,37.4,infinite,blank,0
B10,0.07720000297,65215.9,37.4,infinite,blank,0
B10,0.07710000128,65510.9,37.1,infinite,blank,0
B10,0.07729999721,65806.0,37.6,infinite,blank,0
B10,0.07720000297,66101.1,37.0,infinite,blank,0
B10,0.0775000006,66396.2,37.6,infinite,blank,0
B10,0.07729999721,66691.3,37.1,infinite,blank,0
B10,0.07729999721,66986.4,37.6,infinite,blank,0
B10,0.0773999989,67281.5,36.9,infinite,blank,0
B10,0.07760000229,6491.7,37.6,infinite,blank,0
B10,0.0773999989,67576.6,37.6,infinite,blank,0
B10,0.07720000297,67871.7,36.9,infinite,blank,0
B10,0.07720000297,68166.8,37.6,infinite,blank,0
B10,0.0773999989,68461.9,36.9,infinite,blank,0
B10,0.0773999989,68757.0,37.6,infinite,blank,0
B10,0.07710000128,69052.1,36.9,infinite,blank,0
B10,0.0775000006,69347.2,37.6,infinite,blank,0
B10,0.07720000297,69642.2,37.0,infinite,blank,0
B10,0.0775000006,69937.3,37.5,infinite,blank,0
B10,0.07710000128,70232.4,37.1,infinite,blank,0
B10,0.07769999653,6786.8,37.0,infinite,blank,0
B10,0.0773999989,70527.5,37.3,infinite,blank,0
B10,0.07710000128,70822.6,37.6,infinite,blank,0
B10,0.0773999989,71117.7,37.2,infinite,blank,0
B10,0.07720000297,71412.8,37.6,infinite,blank,0
B10,0.07729999721,71707.9,36.9,infinite,blank,0
B10,0.07720000297,72003.0,37.5,infinite,blank,0
B10,0.07720000297,72298.1,37.2,infinite,blank,0
B10,0.07779999822,72593.2,37.4,infinite,blank,0
B10,0.0773999989,72888.3,37.2,infinite,blank,0
B10,0.07720000297,73183.3,37.5,infinite,blank,0
B10,0.07769999653,7081.9,37.3,infinite,blank,0
B10,0.07710000128,73478.4,37.1,infinite,blank,0
B10,0.07699999957999999,73773.5,37.4,infinite,blank,0
B10,0.07729999721,74068.6,37.3,infinite,blank,0
B10,0.07710000128,74363.7,37.4,infinite,blank,0
B10,0.07710000128,74658.8,37.5,infinite,blank,0
B10,0.07729999721,74953.9,37.0,infinite,blank,0
B10,0.07710000128,75249.0,37.6,infinite,blank,0
B10,0.07710000128,75544.1,37.3,infinite,blank,0
B10,0.07720000297,75839.2,37.4,infinite,blank,0
B10,0.07720000297,76134.3,37.6,infinite,blank,0
B10,0.07789999992,7377.0,37.6,infinite,blank,0
B10,0.07720000297,76429.3,37.2,infinite,blank,0
B10,0.07729999721,76724.4,37.5,infinite,blank,0
B10,0.0775000006,77019.5,37.1,infinite,blank,0
B10,0.07729999721,77314.6,37.5,infinite,blank,0
B10,0.07729999721,77609.7,37.5,infinite,blank,0
B10,0.0775000006,77904.8,37.1,infinite,blank,0
B10,0.07720000297,78199.9,37.6,infinite,blank,0
B10,0.07729999721,78495.0,36.9,infinite,blank,0
B10,0.0773999989,78790.1,37.6,infinite,blank,0
B10,0.07720000297,79085.1,37.4,infinite,blank,0
B10,0.07789999992,7672.0,36.9,infinite,blank,0
B10,0.07729999721,79380.2,37.1,infinite,blank,0
B10,0.07720000297,79675.3,37.6,infinite,blank,0
B10,0.07720000297,79970.4,37.0,infinite,blank,0
