well,od_600nm,time_s,temp_C,instrument,media,strain,replicate
B10,0.0781000033,19328.3,37.5,infinite,water,blank,0
B10,0.07859999686000001,1610.4,37.2,infinite,water,blank,0
B10,0.07819999754,19731.0,37.1,infinite,water,blank,0
B10,0.07779999822,20133.7,37.5,infinite,water,blank,0
B10,0.07869999856000001,20536.4,37.3,infinite,water,blank,0
B10,0.07840000092999999,20939.1,37.3,infinite,water,blank,0
B10,0.07779999822,21341.7,37.5,infinite,water,blank,0
B10,0.07800000161000001,21744.4,37.4,infinite,water,blank,0
B10,0.07769999653,22147.1,37.3,infinite,water,blank,0
B10,0.07769999653,22549.8,37.6,infinite,water,blank,0
B10,0.07760000229,22952.5,37.2,infinite,water,blank,0
B10,0.07789999992,23355.1,37.6,infinite,water,blank,0
B10,0.07789999992,2013.1,37.0,infinite,water,blank,0
B10,0.07840000092999999,23758.0,37.0,infinite,water,blank,0
B10,0.0773999989,24160.7,37.6,infinite,water,blank,0
B10,0.07829999924,24563.3,37.2,infinite,water,blank,0
B10,0.0775000006,24966.0,37.5,infinite,water,blank,0
B10,0.07829999924,25368.7,37.1,infinite,water,blank,0
B10,0.07840000092999999,25771.4,37.6,infinite,water,blank,0
B10,0.07760000229,26174.1,36.9,infinite,water,blank,0
B10,0.07760000229,26576.7,37.6,infinite,water,blank,0
B10,0.0781000033,26979.4,36.9,infinite,water,blank,0
B10,0.0781000033,27382.1,37.6,infinite,water,blank,0
B10,0.07859999686000001,2415.7,37.5,infinite,water,blank,0
B10,0.07789999992,27784.8,36.9,infinite,water,blank,0
B10,0.07819999754,28187.5,37.6,infinite,water,blank,0
B10,0.0773999989,28590.1,37.0,infinite,water,blank,0
B10,0.07829999924,28992.8,37.6,infinite,water,blank,0
B10,0.07819999754,29395.5,37.1,infinite,water,blank,0
B10,0.07779999822,29798.2,37.4,infinite,water,blank,0
B10,0.07829999924,30200.9,37.2,infinite,water,blank,0
B10,0.07819999754,30603.5,37.4,infinite,water,blank,0
B10,0.07819999754,31006.2,37.5,infinite,water,blank,0
B10,0.07800000161000001,31408.9,36.9,infinite,water,blank,0
B10,0.07850000262,2818.4,37.3,infinite,water,blank,0
B10,0.07819999754,31811.6,37.4,infinite,water,blank,0
B10,0.07760000229,32214.3,37.5,infinite,water,blank,0
B10,0.07880000025,32616.9,36.9,infinite,water,blank,0
B10,0.07769999653,33019.6,37.5,infinite,water,blank,0
B10,0.07789999992,33422.3,37.6,infinite,water,blank,0
B10,0.07800000161000001,33825.0,37.0,infinite,water,blank,0
B10,0.07819999754,34227.7,37.2,infinite,water,blank,0
B10,0.07800000161000001,34630.4,37.6,infinite,water,blank,0
B10,0.07840000092999999,35033.0,37.4,infinite,water,blank,0
B10,0.07859999686000001,35435.7,37.0,infinite,water,blank,0
B10,0.07850000262,3221.1,37.2,infinite,water,blank,0
B10,0.07819999754,35838.4,37.4,infinite,water,blank,0
