,cred_int,map_val,parameter,replicate
0,0.013322358988066945,0.7594550147313136,growth_rate,1
1,0.00131540117649776,0.03589277731460493,od_init,1
2,0.0010286246027334167,0.0034248610059444003,sigma,1
0,0.013910055060806807,0.7665531471327566,growth_rate,2
1,0.0014099979369486093,0.037204640294770074,od_init,2
2,0.0011426699331767954,0.0034806559031497716,sigma,2
0,0.014208043678566644,0.7754894780296503,growth_rate,3
1,0.0014492275123331472,0.04003215828282178,od_init,3
2,0.0011387927330262268,0.003268622286242536,sigma,3
