Cycle Nr.,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
B10,0.0868,0.0869,0.0871,0.0869,0.0869,0.087,0.0869,0.0869,0.087,0.087,0.0868,0.087,0.0868,0.0869,0.0868,0.0868,0.087,0.0869,0.0869,0.087,0.087,0.087,0.0869,0.0869,0.087,0.0868,0.0869,0.0869,0.0869,0.087,0.0869,0.087,0.0868,0.0868,0.0869,0.087,0.0869,0.0869,0.0869,0.0869,0.0868,0.087,0.087,0.0869,0.0869,0.0869,0.0868,0.0868,0.0869,0.0868,0.087,0.087,0.087,0.0869,0.087,0.0869,0.0869,0.0869,0.0867,0.0868,0.0869,0.0868,0.0868,0.0868,0.087,0.0869,0.0869,0.0868,0.0867,0.0869,0.0869,0.0869,0.087,0.087,0.0869,0.0869,0.0869,0.0869,0.0869,0.0869,0.0869,0.0869,0.0869,0.0869,0.0868,0.0868,0.087,0.0869,0.0868,0.0868,0.0869,0.0869,0.0869,0.0869,0.0869,0.0869,0.0868,0.0869,0.0869,0.087,0.0868,0.0869,0.0869,0.0868,0.087,0.0869,0.0869,0.0869,0.087,0.0868,0.0868,0.0869,0.0869,0.0868,0.0868,0.0868,0.0869,0.0867,0.087,0.0868,0.0869,0.0869,0.0868,0.0869,0.087,0.0868,0.0869,0.087,0.0869,0.0868,0.0869,0.0869,0.087,0.0869,0.0869,0.087,0.0871,0.0869,0.0868,0.0867,0.0869,0.0868,0.0868,0.0871,0.0869,0.0869,0.0869,0.0869,0.0869
B11,0.0869,0.087,0.0871,0.087,0.087,0.087,0.0869,0.087,0.0871,0.087,0.0869,0.0871,0.087,0.087,0.087,0.087,0.087,0.0869,0.087,0.0871,0.087,0.0871,0.087,0.0871,0.087,0.0869,0.087,0.0871,0.0871,0.087,0.0871,0.0871,0.0869,0.0869,0.0871,0.0872,0.087,0.087,0.087,0.0869,0.0869,0.087,0.087,0.087,0.087,0.087,0.087,0.087,0.0869,0.0871,0.0871,0.0871,0.087,0.0871,0.0871,0.0871,0.0869,0.087,0.0869,0.087,0.087,0.087,0.087,0.0871,0.0871,0.0869,0.087,0.087,0.0871,0.087,0.087,0.0871,0.0871,0.087,0.087,0.0871,0.087,0.087,0.0871,0.087,0.0871,0.0872,0.0871,0.0872,0.087,0.087,0.0871,0.087,0.0869,0.087,0.087,0.087,0.087,0.0871,0.087,0.087,0.0871,0.0871,0.087,0.0872,0.0871,0.087,0.0872,0.0871,0.0871,0.087,0.0871,0.087,0.0872,0.0869,0.087,0.087,0.0872,0.0869,0.0871,0.0871,0.0871,0.087,0.0871,0.0869,0.087,0.0871,0.0869,0.087,0.0871,0.0869,0.087,0.0871,0.087,0.087,0.087,0.087,0.087,0.087,0.0871,0.087,0.087,0.087,0.0872,0.087,0.087,0.0869,0.087,0.0871,0.087,0.087,0.087,0.0871,0.087
B12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C2,0.0863,0.0866,0.0867,0.0865,0.0866,0.087,0.0867,0.0867,0.0868,0.0864,0.0867,0.0866,0.0864,0.0866,0.0866,0.0865,0.0866,0.0866,0.0865,0.0865,0.0866,0.0865,0.0866,0.0865,0.0866,0.0864,0.0866,0.0869,0.0865,0.0867,0.0866,0.0866,0.0867,0.0864,0.0865,0.0866,0.0865,0.0868,0.0867,0.0866,0.0866,0.0865,0.0866,0.0866,0.0865,0.0865,0.0867,0.0866,0.0866,0.0866,0.0866,0.0865,0.0866,0.0866,0.0865,0.0868,0.0866,0.0866,0.0867,0.0867,0.0867,0.0868,0.0868,0.0868,0.0868,0.0868,0.0867,0.0868,0.089,0.0868,0.0869,0.0869,0.0867,0.0867,0.0874,0.0868,0.0869,0.0869,0.0869,0.0869,0.0869,0.0869,0.0868,0.0868,0.0867,0.087,0.0869,0.0868,0.0867,0.0869,0.087,0.0869,0.0868,0.0868,0.0867,0.0869,0.0868,0.0868,0.0867,0.0869,0.0869,0.0869,0.087,0.0869,0.0869,0.0869,0.0869,0.0869,0.087,0.0869,0.0869,0.0868,0.0868,0.0868,0.0868,0.0866,0.087,0.0865,0.0872,0.0865,0.0867,0.0866,0.0866,0.0866,0.0866,0.0867,0.0865,0.0866,0.0866,0.0866,0.0866,0.0866,0.0866,0.0867,0.0867,0.0867,0.0866,0.0868,0.0867,0.0866,0.0865,0.0865,0.0867,0.0867,0.0866,0.0867,0.0865,0.0868,0.0867
C3,0.0872,0.0873,0.0874,0.0873,0.0874,0.0874,0.0874,0.0874,0.0873,0.0873,0.0874,0.0873,0.0873,0.0873,0.0873,0.0873,0.0873,0.0874,0.0873,0.0874,0.0874,0.0874,0.0873,0.0873,0.0874,0.0872,0.0874,0.0873,0.0874,0.0874,0.0873,0.0873,0.0873,0.0873,0.0874,0.0874,0.0874,0.0874,0.0873,0.0873,0.0874,0.0874,0.0874,0.0873,0.0874,0.0875,0.0873,0.0872,0.0874,0.0874,0.0873,0.0874,0.0874,0.0873,0.0873,0.0875,0.0874,0.0874,0.0874,0.0873,0.0874,0.0873,0.0874,0.0874,0.0874,0.0873,0.0874,0.0873,0.0874,0.0875,0.0874,0.0876,0.0874,0.0875,0.0874,0.0872,0.0874,0.0874,0.0875,0.0874,0.0873,0.0874,0.0874,0.0873,0.0873,0.0874,0.0874,0.0874,0.0873,0.0874,0.0875,0.0874,0.0873,0.0875,0.0876,0.0874,0.0875,0.0875,0.0874,0.0875,0.0874,0.0874,0.0875,0.0874,0.0874,0.0874,0.0875,0.0873,0.0875,0.0875,0.0875,0.0875,0.0874,0.0874,0.0875,0.0874,0.0874,0.0874,0.0874,0.0874,0.0874,0.0875,0.0875,0.0875,0.0874,0.0874,0.0873,0.0875,0.0875,0.0875,0.0874,0.0875,0.0874,0.0875,0.0874,0.0875,0.0875,0.0875,0.0876,0.0875,0.0874,0.0874,0.0874,0.0876,0.0874,0.0876,0.0875,0.0874,0.0876
C4,0.0868,0.0868,0.0869,0.0869,0.0869,0.0869,0.0869,0.0869,0.087,0.0868,0.0868,0.0869,0.0869,0.0869,0.0869,0.0868,0.0869,0.0869,0.0869,0.0868,0.0868,0.0868,0.0868,0.0868,0.0869,0.0867,0.0869,0.0868,0.0868,0.0868,0.0867,0.0867,0.0867,0.0868,0.0868,0.0868,0.0868,0.0869,0.0869,0.0868,0.0868,0.0869,0.0868,0.0868,0.0868,0.0868,0.0868,0.0867,0.0869,0.0869,0.0869,0.0868,0.0867,0.0868,0.0868,0.0869,0.0869,0.0867,0.0868,0.0868,0.0868,0.0868,0.0869,0.0868,0.0869,0.0868,0.0869,0.0869,0.0869,0.0868,0.0869,0.0868,0.0869,0.0869,0.0869,0.0868,0.0868,0.0869,0.0868,0.0868,0.0868,0.0869,0.0869,0.0869,0.0868,0.0869,0.0869,0.0868,0.0868,0.0869,0.0868,0.0868,0.0869,0.0868,0.0868,0.0869,0.087,0.0868,0.0869,0.0869,0.0868,0.0868,0.0869,0.0869,0.0869,0.0868,0.0869,0.0868,0.0869,0.0868,0.0869,0.0869,0.0869,0.0868,0.0869,0.0869,0.0869,0.0869,0.0867,0.0868,0.0868,0.0869,0.0869,0.0868,0.0868,0.0868,0.0868,0.0869,0.0868,0.0868,0.0868,0.0869,0.0868,0.0868,0.0869,0.0869,0.0868,0.0869,0.087,0.0869,0.0868,0.0868,0.0869,0.0869,0.0869,0.0868,0.0869,0.0869,0.0868
C5,0.0878,0.0879,0.0879,0.0879,0.0879,0.0878,0.0877,0.0878,0.0879,0.0878,0.0879,0.0878,0.0878,0.0879,0.0879,0.0879,0.0877,0.0879,0.0879,0.0878,0.0877,0.0879,0.0877,0.0876,0.0876,0.0878,0.0877,0.0878,0.0879,0.0879,0.0877,0.0877,0.0877,0.0878,0.0878,0.0879,0.0878,0.0878,0.0878,0.0879,0.0879,0.0877,0.0877,0.0877,0.0877,0.0878,0.0878,0.0876,0.0879,0.0878,0.0879,0.0877,0.0877,0.0876,0.0876,0.0877,0.0878,0.0878,0.0878,0.0879,0.0877,0.0877,0.0879,0.0878,0.0878,0.0877,0.0879,0.0878,0.0878,0.0878,0.0879,0.088,0.0878,0.0877,0.088,0.0877,0.0877,0.0877,0.088,0.0877,0.0877,0.0878,0.0877,0.0877,0.0878,0.0879,0.0879,0.0878,0.0877,0.0878,0.0878,0.0877,0.0878,0.0878,0.0878,0.0878,0.0877,0.0878,0.0878,0.0879,0.0878,0.0878,0.0879,0.0878,0.0878,0.0878,0.088,0.0878,0.0878,0.0878,0.0877,0.0879,0.0878,0.0879,0.0879,0.0878,0.0878,0.0878,0.0878,0.0878,0.0878,0.0877,0.0878,0.0878,0.0878,0.0878,0.0877,0.0878,0.0879,0.0878,0.0879,0.0877,0.0878,0.0877,0.0878,0.0878,0.0878,0.0877,0.088,0.0879,0.0878,0.0877,0.0878,0.0879,0.0877,0.0879,0.0878,0.0877,0.0877
C6,0.0877,0.0878,0.0878,0.0877,0.0878,0.0878,0.0878,0.0877,0.0878,0.0877,0.0879,0.0877,0.0878,0.0878,0.0879,0.0879,0.0877,0.0878,0.0879,0.0877,0.0877,0.0877,0.0878,0.0877,0.0877,0.0877,0.0879,0.0877,0.0879,0.0878,0.0878,0.0877,0.0877,0.0877,0.0878,0.0877,0.0877,0.088,0.0878,0.0878,0.0879,0.0877,0.0877,0.0877,0.0877,0.0877,0.0878,0.0877,0.0878,0.0878,0.0878,0.0878,0.0876,0.0877,0.0877,0.0878,0.0878,0.0877,0.0878,0.0877,0.0878,0.0877,0.0879,0.0879,0.0878,0.0877,0.0879,0.0878,0.0879,0.0877,0.0878,0.088,0.0878,0.0877,0.088,0.0877,0.0877,0.0876,0.0879,0.0878,0.0877,0.0878,0.0877,0.0878,0.0876,0.0878,0.0878,0.0878,0.0877,0.0877,0.0878,0.0876,0.0877,0.0877,0.0879,0.0878,0.0878,0.0877,0.088,0.0877,0.0876,0.0878,0.0879,0.0877,0.0878,0.0877,0.0879,0.0878,0.0878,0.0878,0.0877,0.0878,0.0878,0.0877,0.0879,0.0877,0.0878,0.0877,0.0877,0.0878,0.0878,0.0878,0.0878,0.0876,0.0878,0.0879,0.0878,0.0877,0.0877,0.0879,0.0878,0.0876,0.0878,0.0877,0.0878,0.0878,0.0878,0.0879,0.0878,0.0877,0.0877,0.0878,0.0878,0.0878,0.0878,0.0878,0.0878,0.0878,0.0878
C7,0.0872,0.0872,0.0873,0.0872,0.0871,0.0872,0.0873,0.0874,0.0873,0.0872,0.0874,0.0873,0.0872,0.0873,0.0873,0.0874,0.0873,0.0872,0.0874,0.0872,0.0872,0.0873,0.0872,0.0872,0.0872,0.0873,0.0872,0.0872,0.0873,0.0873,0.0872,0.0872,0.0872,0.0872,0.0872,0.0872,0.0872,0.0873,0.0872,0.0873,0.0871,0.0873,0.0872,0.0872,0.0872,0.0872,0.0873,0.0871,0.0871,0.0873,0.0871,0.0874,0.0873,0.0871,0.0872,0.0873,0.0872,0.0871,0.0872,0.0873,0.0871,0.0872,0.0872,0.0873,0.0872,0.0873,0.0873,0.0874,0.0873,0.0871,0.0873,0.0874,0.0872,0.0873,0.0874,0.0872,0.0872,0.0872,0.0874,0.0873,0.0872,0.0872,0.0873,0.0871,0.0871,0.0873,0.0873,0.0871,0.0873,0.0872,0.0872,0.0872,0.0872,0.0874,0.0873,0.0872,0.0872,0.0873,0.0872,0.0872,0.0873,0.0873,0.0873,0.0872,0.0874,0.0872,0.0872,0.0871,0.0873,0.0873,0.0872,0.0873,0.0872,0.0873,0.0874,0.0872,0.0873,0.0873,0.0872,0.0871,0.0872,0.0873,0.0873,0.0871,0.0871,0.0872,0.0872,0.087,0.0872,0.0872,0.0873,0.0871,0.0873,0.0872,0.0873,0.0872,0.0872,0.0872,0.0874,0.0872,0.0873,0.087,0.0872,0.0872,0.0872,0.0874,0.0872,0.0872,0.0873
C8,0.0865,0.0867,0.0868,0.0867,0.0866,0.0868,0.0868,0.0868,0.0869,0.0868,0.0868,0.0868,0.0868,0.087,0.087,0.087,0.0868,0.0869,0.0869,0.0868,0.0869,0.0869,0.0867,0.087,0.0869,0.0868,0.087,0.087,0.0869,0.087,0.0869,0.0869,0.0869,0.0868,0.0868,0.087,0.0869,0.087,0.0868,0.0869,0.0869,0.0868,0.0869,0.0869,0.0868,0.0871,0.0869,0.0868,0.0869,0.0868,0.0869,0.087,0.087,0.0869,0.0869,0.0869,0.0869,0.0868,0.0868,0.0869,0.0869,0.0869,0.0868,0.087,0.0869,0.087,0.0869,0.087,0.0869,0.0869,0.087,0.087,0.0869,0.0869,0.087,0.0868,0.0869,0.0869,0.087,0.087,0.0869,0.0869,0.087,0.0869,0.087,0.087,0.087,0.087,0.0868,0.087,0.087,0.0869,0.0869,0.0869,0.087,0.0869,0.0869,0.0869,0.087,0.0869,0.087,0.0869,0.087,0.0869,0.087,0.0868,0.087,0.0869,0.087,0.087,0.0869,0.0869,0.0869,0.087,0.087,0.0869,0.0869,0.0868,0.0869,0.087,0.0869,0.0869,0.0869,0.0868,0.0868,0.0869,0.0869,0.0869,0.0869,0.0868,0.0869,0.0868,0.0869,0.0868,0.0868,0.0869,0.087,0.0868,0.0867,0.0869,0.0869,0.0868,0.0868,0.0869,0.0868,0.0869,0.0869,0.0869,0.0868
C9,0.0866,0.0868,0.0868,0.0867,0.0869,0.0869,0.0868,0.0867,0.0868,0.0867,0.0867,0.0868,0.0868,0.0868,0.0867,0.0868,0.0868,0.0867,0.0867,0.0868,0.0868,0.0867,0.0868,0.0868,0.0868,0.0867,0.0868,0.0868,0.0868,0.0868,0.0866,0.0867,0.0867,0.0866,0.0867,0.0868,0.0868,0.0868,0.0867,0.0866,0.0867,0.0867,0.0868,0.0867,0.0868,0.0868,0.0867,0.0866,0.0867,0.0868,0.0868,0.0867,0.0867,0.0867,0.0866,0.0867,0.0866,0.0867,0.0867,0.0867,0.0868,0.0868,0.0868,0.0868,0.0868,0.0868,0.0868,0.0867,0.0868,0.0868,0.0867,0.0868,0.0867,0.0868,0.0867,0.0867,0.0868,0.0868,0.0867,0.0867,0.0868,0.0867,0.0867,0.0867,0.0867,0.0868,0.0869,0.0867,0.0867,0.0867,0.0867,0.0868,0.0868,0.0867,0.0867,0.0867,0.0867,0.0867,0.0866,0.0868,0.0868,0.0867,0.0868,0.0868,0.0869,0.0867,0.0868,0.0867,0.0867,0.0867,0.0868,0.0868,0.0867,0.0867,0.0867,0.0867,0.0868,0.0867,0.0868,0.0867,0.0867,0.0867,0.0866,0.0867,0.0868,0.0867,0.0868,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0868,0.0867,0.0867,0.0867,0.0867,0.0868,0.0866,0.0867,0.0866,0.0867,0.0868,0.0867,0.0867,0.0867,0.0867,0.0867
C10,0.0878,0.0878,0.0878,0.0881,0.088,0.088,0.088,0.0881,0.088,0.088,0.0881,0.088,0.0881,0.0879,0.088,0.0881,0.0879,0.0881,0.088,0.088,0.088,0.0881,0.0879,0.0879,0.088,0.088,0.088,0.0881,0.0881,0.0881,0.0879,0.088,0.0881,0.0879,0.0879,0.0881,0.088,0.0882,0.0882,0.088,0.088,0.0879,0.0879,0.0879,0.088,0.088,0.0879,0.088,0.0879,0.088,0.0881,0.0881,0.0881,0.088,0.0879,0.0879,0.0881,0.0879,0.088,0.0879,0.088,0.088,0.0881,0.0881,0.0881,0.0879,0.0881,0.088,0.088,0.0879,0.0879,0.0882,0.0879,0.088,0.0882,0.088,0.0879,0.0879,0.088,0.0881,0.088,0.088,0.088,0.088,0.0879,0.0881,0.0881,0.0881,0.088,0.0881,0.088,0.088,0.0881,0.0878,0.088,0.0881,0.088,0.0879,0.088,0.088,0.0879,0.0879,0.0882,0.088,0.0881,0.0879,0.0882,0.088,0.088,0.0882,0.0881,0.0881,0.0879,0.088,0.088,0.088,0.088,0.0881,0.088,0.088,0.0879,0.088,0.088,0.088,0.0879,0.0882,0.0881,0.0881,0.088,0.0878,0.0881,0.0879,0.0881,0.0879,0.088,0.0881,0.088,0.088,0.0881,0.088,0.0879,0.088,0.088,0.0881,0.0879,0.088,0.088,0.0879,0.088
C11,0.0872,0.0873,0.0873,0.0873,0.0874,0.0874,0.0874,0.0873,0.0873,0.0873,0.0873,0.0874,0.0874,0.0874,0.0874,0.0875,0.0874,0.0874,0.0874,0.0874,0.0874,0.0874,0.0874,0.0873,0.0874,0.0875,0.0873,0.0873,0.0874,0.0873,0.0873,0.0874,0.0874,0.0873,0.0873,0.0875,0.0873,0.0875,0.0874,0.0874,0.0874,0.0874,0.0874,0.0874,0.0874,0.0874,0.0874,0.0872,0.0875,0.0874,0.0873,0.0875,0.0873,0.0874,0.0874,0.0874,0.0873,0.0874,0.0874,0.0874,0.0874,0.0873,0.0874,0.0875,0.0875,0.0873,0.0874,0.0876,0.0875,0.0874,0.0874,0.0875,0.0874,0.0875,0.0875,0.0873,0.0874,0.0873,0.0874,0.0874,0.0874,0.0875,0.0874,0.0874,0.0874,0.0874,0.0875,0.0874,0.0874,0.0875,0.0874,0.0874,0.0874,0.0874,0.0874,0.0874,0.0874,0.0874,0.0874,0.0874,0.0875,0.0874,0.0876,0.0873,0.0874,0.0874,0.0876,0.0874,0.0876,0.0875,0.0874,0.0875,0.0874,0.0874,0.0874,0.0874,0.0874,0.0875,0.0873,0.0873,0.0874,0.0874,0.0874,0.0875,0.0874,0.0874,0.0874,0.0874,0.0872,0.0875,0.0874,0.0874,0.0874,0.0874,0.0876,0.0875,0.0875,0.0874,0.0874,0.0875,0.0875,0.0873,0.0874,0.0876,0.0875,0.0875,0.0874,0.0875,0.0874
C12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D2,0.0872,0.0867,0.0866,0.0866,0.0867,0.0867,0.0868,0.0868,0.0867,0.0869,0.0868,0.0866,0.0867,0.0868,0.0869,0.0868,0.0867,0.0866,0.0867,0.0867,0.0866,0.0868,0.0867,0.0867,0.0866,0.0867,0.0866,0.0867,0.0866,0.0868,0.0866,0.0867,0.0866,0.0867,0.0866,0.0868,0.0866,0.0868,0.0867,0.0867,0.0868,0.0866,0.0867,0.0868,0.0867,0.0866,0.0867,0.0866,0.0867,0.0867,0.0867,0.0866,0.0867,0.0866,0.0867,0.0866,0.0868,0.0867,0.0867,0.0867,0.0868,0.0866,0.0867,0.0868,0.0867,0.0868,0.0868,0.0868,0.0868,0.0867,0.0866,0.0868,0.0869,0.0869,0.0868,0.0868,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0867,0.0868,0.0866,0.0868,0.0867,0.0868,0.0867,0.0867,0.0867,0.0868,0.0867,0.0867,0.0867,0.0867,0.0867,0.0868,0.0868,0.0866,0.0867,0.0867,0.0868,0.0868,0.0867,0.0867,0.0867,0.0868,0.0868,0.0867,0.0868,0.0867,0.0867,0.0867,0.0869,0.0868,0.0868,0.0867,0.0867,0.0868,0.0867,0.0868,0.0867,0.0868,0.0868,0.0868,0.0867,0.0868,0.0868,0.0868,0.0867,0.0866,0.0867,0.0869,0.0868,0.0868,0.0868,0.0868,0.0867,0.0867,0.0867,0.0868,0.0869,0.0867,0.0868,0.0868,0.0867,0.0867
D3,0.1083,0.1101,0.1126,0.1149,0.1177,0.1207,0.1238,0.1275,0.1317,0.1361,0.1411,0.1465,0.1529,0.1597,0.1676,0.1762,0.186,0.1966,0.2089,0.2225,0.2372,0.2537,0.2726,0.2932,0.3159,0.3446,0.3716,0.4043,0.44,0.4806,0.5227,0.5575,0.588,0.6234,0.6622,0.6983,0.7322,0.7647,0.7957,0.8259,0.8548,0.8832,0.9108,0.926,0.9475,0.96,0.9654,0.9667,0.9673,0.9664,0.9633,0.9594,0.9592,0.9603,0.9629,0.9679,0.9924,0.9938,0.9917,0.9896,0.9884,0.9881,0.9884,0.9897,0.9904,0.9913,0.9928,0.994,0.9968,1.0161,1.0323,1.0423,1.0471,1.0464,1.0447,1.0421,1.0394,1.0357,1.0327,1.0291,1.0256,1.0229,1.0195,1.0156,1.0126,1.0097,1.0065,1.003,1,0.9969,0.9934,0.9901,0.9871,0.9842,0.9811,0.978,0.975,0.9716,0.9693,0.9662,0.9628,0.9604,0.9574,0.9548,0.9516,0.9489,0.9462,0.9437,0.9411,0.9385,0.9358,0.9331,0.9307,0.9284,0.9259,0.9231,0.9211,0.9185,0.9164,0.914,0.9117,0.9093,0.9076,0.905,0.9028,0.9003,0.8983,0.8962,0.8944,0.8923,0.8893,0.8879,0.8858,0.8844,0.8822,0.8805,0.8785,0.8764,0.8746,0.8731,0.8713,0.8696,0.8679,0.8663,0.8643,0.863,0.8615,0.859,0.858
D4,0.1068,0.1085,0.1111,0.1132,0.1154,0.118,0.121,0.1243,0.1281,0.132,0.1364,0.1415,0.1472,0.1535,0.1606,0.1684,0.1773,0.187,0.198,0.2107,0.224,0.2392,0.2569,0.2753,0.297,0.3229,0.3498,0.3809,0.4143,0.4531,0.4883,0.5207,0.551,0.5882,0.6265,0.6621,0.6953,0.728,0.7585,0.7884,0.8182,0.8473,0.8742,0.8918,0.9062,0.9163,0.9202,0.9219,0.9224,0.922,0.9187,0.9179,0.9205,0.9231,0.9283,0.9524,0.9567,0.9566,0.9552,0.9542,0.9536,0.9543,0.9554,0.9569,0.958,0.958,0.9698,0.9881,1.0002,1.0078,1.0099,1.0088,1.0069,1.0039,1.0011,0.9979,0.9956,0.9921,0.9899,0.9863,0.9836,0.9816,0.979,0.9755,0.9729,0.9709,0.9673,0.9652,0.9624,0.9596,0.9574,0.9545,0.9522,0.9498,0.947,0.9444,0.9423,0.9394,0.9372,0.9344,0.9321,0.9295,0.9272,0.9247,0.922,0.9199,0.9175,0.9152,0.9134,0.9108,0.909,0.9059,0.9044,0.9024,0.9,0.8972,0.8956,0.8937,0.8915,0.8897,0.8875,0.8856,0.8837,0.8817,0.8803,0.8778,0.8758,0.8743,0.8727,0.8708,0.8689,0.867,0.8656,0.8641,0.8626,0.861,0.8588,0.8577,0.8557,0.8545,0.853,0.8514,0.85,0.8492,0.8467,0.8455,0.8443,0.8431,0.8417
D5,0.1101,0.112,0.1146,0.1168,0.1198,0.1228,0.1262,0.13,0.1342,0.1387,0.1439,0.1496,0.1558,0.1628,0.171,0.1799,0.19,0.2011,0.2138,0.2282,0.2437,0.2609,0.2807,0.3037,0.3274,0.3535,0.3837,0.4183,0.4552,0.4929,0.5238,0.5547,0.5918,0.6303,0.6666,0.7008,0.7336,0.7652,0.7953,0.8256,0.8542,0.8822,0.8939,0.9198,0.9314,0.9429,0.9455,0.9462,0.9445,0.9424,0.9377,0.936,0.9368,0.9395,0.9432,0.9492,0.9726,0.9719,0.97,0.968,0.9665,0.9664,0.9672,0.9686,0.9689,0.9701,0.9713,0.9724,0.9741,0.9791,0.9981,1.0129,1.022,1.0244,1.0238,1.0215,1.0197,1.0163,1.0133,1.0098,1.0068,1.0032,1.0002,0.9966,0.9934,0.9902,0.9869,0.9838,0.9804,0.9774,0.9739,0.9709,0.9679,0.9647,0.9613,0.9582,0.9556,0.9526,0.9496,0.9468,0.9434,0.941,0.938,0.9343,0.932,0.9289,0.9269,0.9237,0.9214,0.9189,0.9163,0.9136,0.9114,0.9086,0.9063,0.9036,0.9016,0.8989,0.8968,0.895,0.8922,0.8897,0.8878,0.8861,0.8836,0.8809,0.8795,0.8774,0.8757,0.8736,0.8713,0.8696,0.8675,0.8658,0.8638,0.8619,0.8596,0.8579,0.8564,0.8546,0.8525,0.8511,0.8496,0.8483,0.8462,0.8446,0.8434,0.8414,0.8401
D6,0.1089,0.111,0.1134,0.1158,0.1184,0.1216,0.125,0.1288,0.133,0.1375,0.1428,0.1485,0.155,0.1619,0.17,0.1787,0.1891,0.2002,0.2127,0.2271,0.2429,0.2601,0.28,0.3025,0.3263,0.3532,0.3829,0.4181,0.4518,0.491,0.5168,0.5491,0.587,0.6248,0.6601,0.6947,0.7274,0.7586,0.7885,0.818,0.847,0.8749,0.8862,0.912,0.9213,0.9337,0.9361,0.9362,0.9335,0.9318,0.9269,0.9252,0.9263,0.9286,0.9327,0.9384,0.9629,0.9634,0.96,0.9581,0.9565,0.9561,0.9561,0.9569,0.9581,0.9597,0.9608,0.9628,0.964,0.9649,0.9788,0.9962,1.0084,1.014,1.0147,1.0128,1.0107,1.0075,1.0048,1.0018,0.999,0.9954,0.9924,0.9893,0.9862,0.983,0.9805,0.9774,0.9744,0.9711,0.9684,0.9648,0.9624,0.9592,0.9559,0.9527,0.9504,0.9473,0.9448,0.9422,0.9391,0.9365,0.9338,0.9304,0.928,0.9247,0.9228,0.92,0.9179,0.915,0.9126,0.9099,0.9079,0.9048,0.9019,0.9,0.8979,0.8955,0.8931,0.8917,0.8889,0.8864,0.8844,0.8825,0.8799,0.878,0.876,0.874,0.8721,0.8703,0.8681,0.8659,0.864,0.8622,0.8606,0.8581,0.8559,0.855,0.8528,0.8515,0.8491,0.8476,0.8461,0.8449,0.843,0.8412,0.84,0.8381,0.8365
