#
# 2021-04-04_REL606_replicate_003_timepoint_001
# ------------------------------
# Acquired: 4/7/2021 4:02:21 AM
# Converted: 04/07/2021 12:04:09 PM
# Vial: 19
# Injection Volume: 20 uL
# Sample ID: 001
#
# Detector B
# ---------------------
# Acquisition Interval: 500 ms
# Intensity Units: mV
# Intensity Multiplier: 0.001
#
peak_idx,retention_time,arrival_time,departure_time,area,height,detector
1,10.895,10.417,11.308,256616,14966,B
2,11.613,11.308,12.558,27838,683,B
3,13.978,12.567,14.242,1833718,47805,B
4,14.345999999999998,14.242,14.982999999999999,175923,10348,B
5,15.687000000000001,14.982999999999999,17.108,1218915,49077,B
6,19.087,18.758,19.542,2549,115,B
7,25.054000000000002,24.683000000000003,25.558000000000003,2525,98,B
