clock_time,strain,media,od_600nm,acetate_mM,glucose_mM,date
14:36,REL606,acetate,0.066,30,0,2021-02-08
14:50,NCM3722,shift,0.217,30,0.61,2021-02-08
14:50,NCM3722,acetate,0.225,30,0,2021-02-08
14:51,REL606,shift,0.191,30,0.61,2021-02-08
14:52,REL606,acetate,0.071,30,0,2021-02-08
15:05,NCM3722,shift,0.233,30,0.61,2021-02-08
15:06,NCM3722,acetate,0.256,30,0,2021-02-08
15:06,REL606,shift,0.192,30,0.61,2021-02-08
15:07,REL606,acetate,0.081,30,0,2021-02-08
15:20,NCM3722,shift,0.242,30,0.61,2021-02-08
15:20,NCM3722,acetate,0.28,30,0,2021-02-08
15:20,REL606,shift,0.195,30,0.61,2021-02-08
15:21,REL606,acetate,0.085,30,0,2021-02-08
15:32,NCM3722,shift,0.237,30,0.61,2021-02-08
15:32,NCM3722,acetate,0.309,30,0,2021-02-08
15:33,REL606,shift,0.2,30,0.61,2021-02-08
15:33,REL606,acetate,0.091,30,0,2021-02-08
15:48,NCM3722,shift,0.254,30,0.61,2021-02-08
15:49,NCM3722,acetate,0.348,30,0,2021-02-08
15:49,REL606,shift,0.201,30,0.61,2021-02-08
15:49,REL606,acetate,0.097,30,0,2021-02-08
16:00,NCM3722,shift,0.264,30,0.61,2021-02-08
16:01,NCM3722,acetate,0.378,30,0,2021-02-08
16:01,REL606,shift,0.197,30,0.61,2021-02-08
16:02,REL606,acetate,0.101,30,0,2021-02-08
16:13,NCM3722,shift,0.281,30,0.61,2021-02-08
16:13,NCM3722,acetate,0.399,30,0,2021-02-08
16:14,REL606,shift,0.192,30,0.61,2021-02-08
16:14,REL606,acetate,0.105,30,0,2021-02-08
16:25,NCM3722,shift,0.302,30,0.61,2021-02-08
16:26,REL606,shift,0.191,30,0.61,2021-02-08
16:26,REL606,acetate,0.109,30,0,2021-02-08
16:37,NCM3722,shift,0.316,30,0.61,2021-02-08
16:38,REL606,shift,0.194,30,0.61,2021-02-08
16:38,REL606,acetate,0.116,30,0,2021-02-08
16:49,NCM3722,shift,0.353,30,0.61,2021-02-08
16:50,REL606,shift,0.194,30,0.61,2021-02-08
16:50,REL606,acetate,0.12,30,0,2021-02-08
17:01,NCM3722,shift,0.387,30,0.61,2021-02-08
17:02,REL606,shift,0.193,30,0.61,2021-02-08
17:03,REL606,acetate,0.128,30,0.61,2021-02-08
17:14,NCM3722,shift,0.414,30,0.61,2021-02-08
17:15,REL606,shift,0.194,30,0.61,2021-02-08
17:16,REL606,acetate,0.136,30,0,2021-02-08
17:27,REL606,shift,0.192,30,0,2021-02-08
17:27,REL606,acetate,0.14,30,0.61,2021-02-08
17:37,REL606,shift,0.191,30,0.61,2021-02-08
17:38,REL606,acetate,0.149,30,0,2021-02-08
17:48,REL606,shift,0.191,30,0.61,2021-02-08
17:48,REL606,acetate,0.159,30,0,2021-02-08
17:58,REL606,shift,0.192,30,0.61,2021-02-08
17:59,REL606,acetate,0.163,30,0,2021-02-08
